,Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
233,POWERINDIA,EQ,08-Jun-2023,"3,968.30","3,987.95","3,995.00","3,905.00","3,906.25","3,914.95","3,950.14","9,966","3,93,67,122.00","3,126","3,811",38.24
234,POWERINDIA,EQ,09-Jun-2023,"3,914.95","3,880.35","3,985.55","3,823.55","3,850.00","3,837.20","3,882.08","17,972","6,97,68,785.80","3,742","9,766",54.34
235,POWERINDIA,EQ,12-Jun-2023,"3,837.20","3,857.40","3,943.95","3,815.00","3,940.00","3,928.70","3,909.95","15,231","5,95,52,522.45","3,709","7,686",50.46
236,POWERINDIA,EQ,13-Jun-2023,"3,928.70","3,901.70","4,149.00","3,901.70","4,135.20","4,110.90","4,056.06","55,527","22,52,20,679.40","9,714","21,251",38.27
237,POWERINDIA,EQ,14-Jun-2023,"4,110.90","4,199.00","4,293.95","4,056.50","4,100.00","4,085.05","4,210.06","1,22,886","51,73,57,689.90","22,248","31,834",25.91
238,POWERINDIA,EQ,15-Jun-2023,"4,085.05","4,090.00","4,213.65","3,977.15","3,992.00","4,002.55","4,083.94","38,030","15,53,12,172.70","7,916","10,267",27.00
239,POWERINDIA,EQ,16-Jun-2023,"4,002.55","4,024.90","4,122.60","3,962.00","4,080.00","4,069.75","4,044.50","30,595","12,37,41,529.95","7,567","7,315",23.91
240,POWERINDIA,EQ,19-Jun-2023,"4,069.75","4,089.95","4,155.00","4,072.30","4,123.00","4,119.05","4,123.57","33,162","13,67,45,793.20","5,655","16,453",49.61
241,POWERINDIA,EQ,20-Jun-2023,"4,119.05","4,126.00","4,170.00","4,120.00","4,128.00","4,133.90","4,142.26","11,737","4,86,17,727.35","2,983","4,661",39.71
242,POWERINDIA,EQ,21-Jun-2023,"4,133.90","4,137.95","4,168.00","4,084.50","4,164.00","4,161.15","4,141.28","14,071","5,82,71,967.25","3,277","6,148",43.69
243,POWERINDIA,EQ,22-Jun-2023,"4,161.15","4,181.95","4,189.85","4,090.10","4,125.15","4,123.40","4,144.81","10,383","4,30,35,554.55","2,658","3,896",37.52
244,POWERINDIA,EQ,23-Jun-2023,"4,123.40","4,123.40","4,239.95","4,052.55","4,100.00","4,096.90","4,156.13","32,309","13,42,80,417.05","6,733","18,348",56.79
245,POWERINDIA,EQ,26-Jun-2023,"4,096.90","4,100.00","4,200.00","4,076.10","4,199.00","4,191.75","4,169.68","12,852","5,35,88,715.15","3,220","5,972",46.47
246,POWERINDIA,EQ,27-Jun-2023,"4,191.75","4,153.65","4,192.45","4,090.00","4,103.00","4,121.95","4,120.65","23,844","9,82,52,733.75","7,778","10,393",43.59
247,POWERINDIA,EQ,28-Jun-2023,"4,121.95","4,158.95","4,207.95","4,109.00","4,125.00","4,117.75","4,155.13","12,696","5,27,53,498.65","2,864","6,040",47.57
0,POWERINDIA,EQ,30-Jun-2023,"4,117.75","4,138.55","4,185.00","4,083.70","4,142.00","4,157.85","4,131.77","16,102","6,65,29,723.35","4,702","6,623",41.13
1,POWERINDIA,EQ,03-Jul-2023,"4,157.85","4,179.70","4,189.00","4,125.00","4,127.25","4,138.05","4,154.29","9,696","4,02,80,040.55","3,483","3,844",39.65
2,POWERINDIA,EQ,04-Jul-2023,"4,138.05","4,158.70","4,172.40","4,100.00","4,105.50","4,108.00","4,135.56","7,010","2,89,90,300.85","2,584","3,193",45.55
3,POWERINDIA,EQ,05-Jul-2023,"4,108.00","4,128.50","4,288.00","4,105.05","4,210.00","4,218.75","4,233.48","36,550","15,47,33,737.35","7,444","13,817",37.8
4,POWERINDIA,EQ,06-Jul-2023,"4,218.75","4,200.00","4,345.00","4,200.00","4,307.20","4,320.65","4,308.03","30,776","13,25,83,791.50","6,839","10,475",34.04
5,POWERINDIA,EQ,07-Jul-2023,"4,320.65","4,320.65","4,347.85","4,231.50","4,241.65","4,261.85","4,281.75","35,613","15,24,86,059.95","5,508","23,279",65.37
6,POWERINDIA,EQ,10-Jul-2023,"4,261.85","4,285.00","4,365.00","4,199.80","4,211.00","4,226.80","4,284.62","18,861","8,08,12,305.85","4,226","9,849",52.22
7,POWERINDIA,EQ,11-Jul-2023,"4,226.80","4,244.00","4,300.00","4,161.50","4,185.00","4,189.35","4,218.41","22,038","9,29,65,243.40","6,639","9,802",44.48
8,POWERINDIA,EQ,12-Jul-2023,"4,189.35","4,210.25","4,288.10","4,193.05","4,199.95","4,220.25","4,237.51","15,325","6,49,39,909.15","3,696","6,718",43.84
9,POWERINDIA,EQ,13-Jul-2023,"4,220.25","4,220.25","4,249.65","4,125.15","4,160.00","4,152.45","4,195.68","15,080","6,32,70,833.10","4,144","7,559",50.13
10,POWERINDIA,EQ,14-Jul-2023,"4,152.45","4,170.00","4,275.05","4,159.75","4,225.05","4,228.50","4,222.35","17,612","7,43,63,940.50","4,365","7,449",42.3
11,POWERINDIA,EQ,17-Jul-2023,"4,228.50","4,180.80","4,277.45","4,180.80","4,261.15","4,242.70","4,238.90","21,604","9,15,77,279.50","4,950","11,393",52.74
12,POWERINDIA,EQ,18-Jul-2023,"4,242.70","4,265.00","4,335.00","4,215.30","4,237.00","4,235.65","4,279.37","18,750","8,02,38,205.40","4,635","8,472",45.18
13,POWERINDIA,EQ,19-Jul-2023,"4,235.65","4,289.95","4,311.00","4,191.50","4,196.00","4,206.55","4,238.26","18,207","7,71,65,982.00","4,301","8,612",47.3
14,POWERINDIA,EQ,20-Jul-2023,"4,206.55","4,227.50","4,241.45","4,146.05","4,180.00","4,168.25","4,177.34","15,080","6,29,94,279.30","4,479","6,659",44.16
15,POWERINDIA,EQ,21-Jul-2023,"4,168.25","4,186.00","4,239.95","4,151.25","4,207.30","4,202.45","4,189.39","9,074","3,80,14,519.70","3,141","3,274",36.08
16,POWERINDIA,EQ,24-Jul-2023,"4,202.45","4,220.00","4,228.95","4,101.50","4,118.75","4,121.70","4,193.42","31,899","13,37,65,915.05","4,283","23,287",73.0
17,POWERINDIA,EQ,25-Jul-2023,"4,121.70","4,141.00","4,274.00","4,042.85","4,195.00","4,144.45","4,137.30","32,311","13,36,80,377.90","6,174","14,543",45.01
18,POWERINDIA,EQ,26-Jul-2023,"4,144.45","4,093.70","4,155.05","4,051.00","4,054.00","4,067.50","4,081.81","46,865","19,12,93,875.75","9,306","31,626",67.48
19,POWERINDIA,EQ,27-Jul-2023,"4,067.50","4,077.00","4,129.90","3,987.05","4,050.00","4,056.70","4,049.61","19,949","8,07,85,767.00","5,190","7,986",40.03
20,POWERINDIA,EQ,28-Jul-2023,"4,056.70","4,056.70","4,067.60","3,940.05","3,950.00","3,960.00","3,996.05","19,120","7,64,04,501.55","4,064","9,621",50.32
21,POWERINDIA,EQ,31-Jul-2023,"3,960.00","3,960.00","3,984.00","3,931.30","3,941.05","3,942.45","3,947.61","95,334","37,63,41,429.80","8,627","83,708",87.8
22,POWERINDIA,EQ,01-Aug-2023,"3,942.45","3,963.20","4,001.90","3,935.00","3,990.00","3,964.85","3,965.76","19,668","7,79,98,533.60","5,370","12,131",61.68
23,POWERINDIA,EQ,02-Aug-2023,"3,964.85","3,970.00","4,042.00","3,902.05","4,015.05","4,032.80","3,960.94","49,988","19,79,99,489.85","6,440","35,301",70.62
24,POWERINDIA,EQ,03-Aug-2023,"4,032.80","4,046.00","4,295.25","4,030.20","4,295.00","4,275.85","4,130.78","1,30,944","54,09,00,365.20","11,938","94,467",72.14
